Taxon,Stage,Insect?,Origin,Higher classification,Order,higherClass_JS,Family,Common name,Feeding Group,Habit,Tolerance,Voltinism,Development,Occurrence in drift,Size at maturity,Rheophily,Thermal preference,a,b,Notes
Header,U,non-insect,Terrestrial,x,x,x,x,x,UN,UN,0,0,0,0,0,0,0,0,0,
Lumbriculidae (terrestrial),U,non-insect,Terrestrial,Annelida: Oligochaeta,miscellaneous non-insect,Oligochaeta,Lumbriculidae,segmented worms,CG,BU,0,2,2,1,2,2,2,0.0758,0.74,
Gastropoda (terrestrial),U,non-insect,Terrestrial,Mollusca: Gastropoda,x,Gastropoda,x,terrestrial snails,UN,UN,0,0,0,0,0,0,0,0.172,1.688,
Isopoda (terrestrial),U,non-insect,Terrestrial,Crustacea: Isopoda,x,Isopoda,x,sow and pill bugs,UN,UN,0,0,0,0,0,0,0,0.0102,3.16,
Armadillidium vulgare,U,non-insect,Terrestrial,Crustacea: Isopoda,x,Isopoda,x,sow and pill bugs,UN,UN,0,0,0,0,0,0,0,0.0102,3.16,
Ligidium,U,non-insect,Terrestrial,Crustacea: Isopoda,x,Isopoda,x,sow and pill bugs,UN,UN,0,0,0,0,0,0,0,0.0102,3.16,
Ligidium gracile,U,non-insect,Terrestrial,Crustacea: Isopoda,x,Isopoda,x,sow and pill bugs,UN,UN,0,0,0,0,0,0,0,0.0102,3.16,
Porcellio scaber,U,non-insect,Terrestrial,Crustacea: Isopoda,x,Isopoda,x,sow and pill bugs,UN,UN,0,0,0,0,0,0,0,0.0102,3.16,
Chilopoda,U,non-insect,Terrestrial,Arthropoda: Chilopoda,miscellaneous non-insect,miscellaneous non-insect,x,centipedes,UN,UN,0,0,0,0,0,0,0,0.002,2.9277,
Pseudoscorpionida,U,non-insect,Terrestrial,Arthropoda: Pseudoscorpionida,miscellaneous non-insect,miscellaneous non-insect,x,pseudoscorpions,UN,UN,0,0,0,0,0,0,0,0.0078,3.424,
Collembola,U,non-insect,Terrestrial,Arthropoda: Collembola,x,Collembola,x,springtails,UN,UN,0,0,0,0,0,0,0,0.0024,3.676,
Microcoryphia,U,non-insect,Terrestrial,Arthropoda: Microcoryphia,miscellaneous non-insect,miscellaneous non-insect,x,jumping bristletails,UN,UN,0,0,0,0,0,0,0,0.0747,1.601,
Araneae,U,non-insect,Terrestrial,Arthropoda: Arachnida,x,Araneae,x,spiders,UN,UN,0,0,0,0,0,0,0,0.0298,2.809,
Terrestrial insects,U,insect,Terrestrial,Arthropoda: Insecta,x,x,x,x,UN,UN,0,0,0,0,0,0,0,0,0,
Coleoptera,L,insect,Terrestrial,Arthropoda: Insecta,Coleoptera,Coleoptera,x,beetles,UN,UN,0,0,0,0,0,0,0,0.0035,2.4033,
Coleoptera,P,insect,Terrestrial,Arthropoda: Insecta,Coleoptera,Coleoptera,x,beetles,UN,UN,0,0,0,0,0,0,0,0.04,2.64,
Coleoptera,A,insect,Terrestrial,Arthropoda: Insecta,Coleoptera,Coleoptera,x,beetles,UN,UN,0,0,0,0,0,0,0,0.04,2.64,
Carabidae,L,insect,Terrestrial,Arthropoda: Insecta,Coleoptera,Coleoptera,Carabidae,ground beetles,UN,UN,0,0,0,0,0,0,0,0.0035,2.4033,
Carabidae,A,insect,Terrestrial,Arthropoda: Insecta,Coleoptera,Coleoptera,Carabidae,ground beetles,UN,UN,0,0,0,0,0,0,0,0.0237,2.7054,
Cantharidae,L,insect,Terrestrial,Arthropoda: Insecta,Coleoptera,Coleoptera,Cantharidae,soldier beetles,UN,UN,0,0,0,0,0,0,0,0.0035,2.4033,
Cantharidae,A,insect,Terrestrial,Arthropoda: Insecta,Coleoptera,Coleoptera,Cantharidae,soldier beetles,UN,UN,0,0,0,0,0,0,0,0.04,2.64,
Chrysomelidae,A,insect,Terrestrial,Arthropoda: Insecta,Coleoptera,Coleoptera,Chrysomelidae,leaf beetles,UN,UN,0,0,0,0,0,0,0,0.04,2.64,
Chrysomelidae,L,insect,Terrestrial,Arthropoda: Insecta,Coleoptera,Coleoptera,Chrysomelidae,leaf beetles,UN,UN,0,0,0,0,0,0,0,0.0035,2.4033,
Cicindelidae,A,insect,Terrestrial,Arthropoda: Insecta,Coleoptera,Coleoptera,Cicindelidae,tiger beetles,UN,UN,0,0,0,0,0,0,0,0.0237,2.7054,
Coccinellidae,L,insect,Terrestrial,Arthropoda: Insecta,Coleoptera,Coleoptera,Coccinellidae,ladybird beetles,UN,UN,0,0,0,0,0,0,0,0.0035,2.4033,
Coccinellidae,A,insect,Terrestrial,Arthropoda: Insecta,Coleoptera,Coleoptera,Coccinellidae,ladybird beetles,UN,UN,0,0,0,0,0,0,0,0.343,1.5,
Curculionidae,A,insect,Terrestrial,Arthropoda: Insecta,Coleoptera,Coleoptera,Curculionidae,beetles,UN,UN,0,0,0,0,0,0,0,0.1281,2.254,
Elateridae,A,insect,Terrestrial,Arthropoda: Insecta,Coleoptera,Coleoptera,Elateridae,click beetles,UN,UN,0,0,0,0,0,0,0,0.04,2.64,
Hydraenidae,L,insect,Terrestrial,Arthropoda: Insecta,Coleoptera,Coleoptera,Hydraenidae,beetles,,,,,,,,,,0.0035,2.4033,added by js
Hydraenidae,A,insect,Terrestrial,Arthropoda: Insecta,Coleoptera,Coleoptera,Hydraenidae,beetles,UN,UN,0,0,0,0,0,0,0,0.04,2.64,
Scolytidae,A,insect,Terrestrial,Arthropoda: Insecta,Coleoptera,Coleoptera,Scolytidae,minute moss beetles,UN,UN,0,0,0,0,0,0,0,0.04,2.64,
Silphidae,A,insect,Terrestrial,Arthropoda: Insecta,Coleoptera,Coleoptera,Silphidae,carrion beetles,UN,UN,0,0,0,0,0,0,0,0.0237,2.7054,
Staphylinidae,A,insect,Terrestrial,Arthropoda: Insecta,Coleoptera,Coleoptera,Staphylinidae,rove beetles,UN,UN,0,0,0,0,0,0,0,0.0134,2.26,
Staphylinidae,L,insect,Terrestrial,Arthropoda: Insecta,Coleoptera,Coleoptera,Staphylinidae,rove beetles,UN,UN,0,0,0,0,0,0,0,0.0035,2.4033,
Dermaptera,A,insect,Terrestrial,Arthropoda: Insecta,Dermaptera,Dermaptera,x,earwigs,UN,UN,0,0,0,0,0,0,0,0.0035,2.4033,
Diptera,L,insect,Terrestrial,Arthropoda: Insecta,Diptera,Diptera,x,higher flies,,,,,,,,,,0.004,2.586,added by js
Diptera,A,insect,Terrestrial,Arthropoda: Insecta,Diptera,Diptera,x,higher flies,,,,,,,,,,0.021,2.081,added by js
Diptera,P,insect,Terrestrial,Arthropoda: Insecta,Diptera,Diptera,x,higher flies,,,,,,,,,,0.0025,2.692,added by js
Brachycera,L,insect,Terrestrial,Arthropoda: Insecta,Diptera,Diptera,x,higher flies,UN,BU,HT,3,2,1,2,1,2,0.004,2.586,
Brachycera,P,insect,Terrestrial,Arthropoda: Insecta,Diptera,Diptera,x,higher flies,UN,BU,HT,3,2,1,2,1,2,0.004,2.586,
Brachycera,A,insect,Terrestrial,Arthropoda: Insecta,Diptera,Diptera,x,higher flies,UN,BU,HT,3,2,1,2,1,2,0.006,3.05,
Cyclorrhapha,L,insect,Terrestrial,Arthropoda: Insecta,Diptera,Diptera,x,higher flies,UN,BU,HT,3,2,1,2,1,2,0.004,2.586,
Cyclorrhapha,P,insect,Terrestrial,Arthropoda: Insecta,Diptera,Diptera,x,higher flies,UN,BU,HT,3,2,1,2,1,2,0.004,2.586,
Cyclorrhapha,A,insect,Terrestrial,Arthropoda: Insecta,Diptera,Diptera,x,higher flies,UN,BU,HT,3,2,1,2,1,2,0.006,3.05,
Phoridae,A,insect,Terrestrial,Arthropoda: Insecta,Diptera,Diptera,Phoridae,higher flies,UN,BU,HT,3,2,1,2,1,2,0.006,3.05,
Syrphidae,A,insect,Terrestrial,Arthropoda: Insecta,Diptera,Diptera,Syrphidae,higher flies,UN,BU,HT,3,2,1,2,1,2,0.006,3.05,
Nematocera,P,insect,Terrestrial,Arthropoda: Insecta,Diptera,Diptera,x,lower flies,UN,UN,0,0,0,0,0,0,0,0.0025,2.692,
Nematocera,A,insect,Terrestrial,Arthropoda: Insecta,Diptera,Diptera,x,lower flies,UN,UN,0,0,0,0,0,0,0,0.021,2.081,
Anisopodidae,A,insect,Terrestrial,Arthropoda: Insecta,Diptera,Diptera,x,lower flies,UN,UN,0,0,0,0,0,0,0,0.021,2.081,
Axymyiidae,A,insect,Terrestrial,Arthropoda: Insecta,Diptera,Diptera,x,lower flies,UN,UN,0,0,0,0,0,0,0,0.021,2.081,
Cecidomyiidae,L,insect,Terrestrial,Arthropoda: Insecta,Diptera,Diptera,Cecidomyiidae,gall gnats,UN,UN,0,0,0,0,0,0,0,0.004,2.586,
Cecidomyiidae,A,insect,Terrestrial,Arthropoda: Insecta,Diptera,Diptera,Cecidomyiidae,gall gnats,UN,UN,0,0,0,0,0,0,0,0.021,2.081,
Mycetophilidae (terrestrial),L,insect,Terrestrial,Arthropoda: Insecta,Diptera,Diptera,Mycetophilidae,fungus gnats,UN,BU,0,3,1,1,1,1,2,0.0025,2.692,
Mycetophilidae,A,insect,Terrestrial,Arthropoda: Insecta,Diptera,Diptera,Mycetophilidae,fungus gnats,UN,UN,0,0,0,0,0,0,0,0.021,2.081,
Scatopsidae,A,insect,Terrestrial,Arthropoda: Insecta,Diptera,Diptera,Scatopsidae,minute black scavenger flies,UN,UN,0,0,0,0,0,0,0,0.021,2.081,
Sciaridae,A,insect,Terrestrial,Arthropoda: Insecta,Diptera,Diptera,Sciaridae,root gnats,UN,UN,0,0,0,0,0,0,0,0.021,2.081,
Trichocera,A,insect,Terrestrial,Arthropoda: Insecta,Diptera,Diptera,Trichoceridae,winter crane flies,UN,UN,0,0,0,0,0,0,0,0.021,2.081,
Hemiptera,L,insect,Terrestrial,Arthropoda: Insecta,Hemiptera,Hemiptera,x,,,,,,,,,,,0.005,3.33,added by js
Hemiptera,A,insect,Terrestrial,Arthropoda: Insecta,Hemiptera,Hemiptera,x,,,,,,,,,,,0.005,3.33,added by js
Hebridae,A,insect,Aquatic,Arthropoda: Insecta,Hemiptera,Hemiptera,Hebridae,velvet water bug,,,,,,,,,,0.0499,2.27,added by js
Hebridae,L,insect,Aquatic,Arthropoda: Insecta,Hemiptera,Hemiptera,Hebridae,,,,,,,,,,,0.0499,2.27,added by js
